STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.24592303773444577,0.0,0.36564468211800744,0.0,,,,,0.0,0.0,,
AT,STR_length,heterozygosity,0.24244904633504297,0.0,0.362862226958842,0.0,,,,,0.0,0.0,,
AT,STR_length,minor_freq,0.22331425235973923,1.235e-321,0.35667970462057114,0.0,,,,,3.55727e-319,0.0,,
AT,STR_length,label,0.30539480199843005,0.0,0.31016861861077444,0.0,0.30539480199843005,0.0,0.4140871230081987,0.0,0.0,0.0,0.0,0.0
AC,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
AC,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
all,STR_length,entropy,0.16879657835026343,0.0,0.2693551894259637,0.0,,,,,0.0,0.0,,
AC,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
GT,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
all,STR_length,heterozygosity,0.16202332501794722,0.0,0.26785073389559605,0.0,,,,,0.0,0.0,,
GT,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
AC,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
all,STR_length,minor_freq,0.14891918727038456,0.0,0.2509779223948707,0.0,,,,,0.0,0.0,,
all,STR_length,label,0.23952410826284662,0.0,0.23544734790565752,0.0,0.23952410826284662,0.0,0.2614775412709097,0.0,0.0,0.0,0.0,0.0
CT,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
AG,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
AG,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
CT,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
AC,all_dinuc_count,entropy,0.20684204385224522,1.8296377310834474e-217,0.1873783976723163,3.8813392365274974e-178,,,,,5.269356665520328e-215,1.1178257001199193e-175,,
GT,all_dinuc_count,entropy,0.20684204385224522,1.8296377310834474e-217,0.1873783976723163,3.8813392365274974e-178,,,,,5.269356665520328e-215,1.1178257001199193e-175,,
AC,all_dinuc_count,heterozygosity,0.1720282042743766,4.7749423460420076e-150,0.18532735490688648,3.092818999978476e-174,,,,,1.3751833956600982e-147,8.907318719938011e-172,,
GT,all_dinuc_count,heterozygosity,0.1720282042743766,4.7749423460420076e-150,0.18532735490688648,3.092818999978476e-174,,,,,1.3751833956600982e-147,8.907318719938011e-172,,
all,all_dinuc_count,entropy,0.18839106100901062,0.0,0.18134822209834112,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,minor_freq,0.15215318161932626,1.964398888224424e-117,0.1798148466498246,5.60947469598412e-164,,,,,5.657468798086341e-115,1.6155287124434266e-161,,
AC,all_dinuc_count,minor_freq,0.15215318161932626,1.964398888224424e-117,0.1798148466498246,5.60947469598412e-164,,,,,5.657468798086341e-115,1.6155287124434266e-161,,
all,all_dinuc_count,heterozygosity,0.169745873214182,0.0,0.1793211604992128,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,minor_freq,0.15086501750634987,0.0,0.17346398469417856,0.0,,,,,0.0,0.0,,
AG,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
AG,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
CT,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AC,all_dinuc_count,label,0.19913907250345741,2.125882859924273e-201,0.16526308753925706,1.7883437965585872e-138,0.19913907250345741,2.125882859924273e-201,0.19085921546449958,1.3054442939556035e-136,6.122542636581906e-199,5.1504301340887314e-136,1.5306356591454766e-199,9.399198916480344e-135
GT,all_dinuc_count,label,0.19913907250345741,2.125882859924273e-201,0.16526308753925706,1.7883437965585872e-138,0.19913907250345741,2.125882859924273e-201,0.19085921546449958,1.3054442939556035e-136,6.122542636581906e-199,5.1504301340887314e-136,1.5306356591454766e-199,9.399198916480344e-135
all,AT_count,entropy,0.18155315943479727,0.0,0.15882159033454857,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.1694761934356286,0.0,0.1583034831458391,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,label,0.18385245503171202,0.0,0.15587486370930118,0.0,0.18385245503171202,0.0,0.18174453657209588,0.0,0.0,0.0,0.0,0.0
all,AT_count,minor_freq,0.15487350092317548,0.0,0.15348117163063552,0.0,,,,,0.0,0.0,,
all,AT_count,label,0.16378143206204032,0.0,0.1390164508513495,0.0,0.16378143206204032,0.0,0.16044313996180348,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,entropy,0.13519695393429873,2.6463770956543314e-117,0.12419682621920868,3.7208735734947134e-99,,,,,7.621566035484475e-115,1.0716115891664776e-96,,
AT,all_dinuc_count,heterozygosity,0.13104227619455966,2.906930306447788e-110,0.1201798601277925,6.362294949598742e-93,,,,,8.371959282569628e-108,1.8323409454844377e-90,,
AT,all_dinuc_count,minor_freq,0.11509752364053319,2.4492754832062485e-85,0.11745731183080445,8.104597799923052e-89,,,,,7.053913391633996e-83,2.334124166377839e-86,,
