STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
all,AT_count,label,0.1185841142082442,0.0,0.10899414846938783,0.0,0.1185841142082442,0.0,0.13343262446895476,0.0,0.0,0.0,0.0,0.0
AG,all_dinuc_count,entropy,0.054632441432998065,7.407765639167729e-12,0.10617679095781418,1.3595468666089226e-40,,,,,1.4667375965552102e-09,2.6919027958856667e-38,,
CT,all_dinuc_count,entropy,0.054632441432998065,7.407765639167729e-12,0.10617679095781418,1.3595468666089226e-40,,,,,1.4667375965552102e-09,2.6919027958856667e-38,,
AG,all_dinuc_count,label,0.12373294080929739,1.3336289022705216e-54,0.10609172648235123,1.5702990124573354e-40,0.12373294080929739,1.3336289022705216e-54,0.12283516845980513,2.576568934101638e-40,2.6405852264956327e-52,3.109192044665524e-38,8.801950754985443e-53,1.700535496507081e-38
CT,all_dinuc_count,label,0.12373294080929739,1.3336289022705216e-54,0.10609172648235123,1.5702990124573354e-40,0.12373294080929739,1.3336289022705216e-54,0.12283516845980513,2.576568934101638e-40,2.6405852264956327e-52,3.109192044665524e-38,8.801950754985443e-53,1.700535496507081e-38
AG,all_dinuc_count,heterozygosity,0.06455499036395622,5.679449383549226e-16,0.10533458704464183,5.634163986072685e-40,,,,,1.1245309779427467e-13,1.1155644692423916e-37,,
CT,all_dinuc_count,heterozygosity,0.06455499036395622,5.679449383549226e-16,0.10533458704464183,5.634163986072685e-40,,,,,1.1245309779427467e-13,1.1155644692423916e-37,,
all,all_dinuc_count,label,0.11678907826432636,0.0,0.09545274306519684,2.4902048552331063e-297,0.11678907826432636,0.0,0.11935306917516209,5.494595484374679e-296,0.0,4.930605613361551e-295,0.0,3.626433019687288e-294
AT,all_dinuc_count,label,0.09380433164240713,9.110274644110288e-68,0.0787585643396928,3.030232288494332e-48,0.09380433164240713,9.110274644110288e-68,0.11808164342362526,4.2045957570019e-48,1.803834379533837e-65,5.999859931218778e-46,6.01278126511279e-66,2.775033199621254e-46
CT,TT_count,label,0.09277605481376384,2.3416724943194535e-31,0.07734460992792898,2.887653207315624e-22,0.09277605481376384,2.3416724943194535e-31,0.08713286351041982,3.314752269784914e-22,4.636511538752518e-29,5.717553350484936e-20,1.5455038462508392e-29,2.1877364980580432e-20
AG,AA_count,label,0.09277605481376384,2.3416724943194535e-31,0.07734460992792898,2.887653207315624e-22,0.09277605481376384,2.3416724943194535e-31,0.08713286351041982,3.314752269784914e-22,4.636511538752518e-29,5.717553350484936e-20,1.5455038462508392e-29,2.1877364980580432e-20
AG,AA_count,entropy,0.01813704360308834,0.023060778349351066,0.07198880736792478,1.70738183525297e-19,,,,,4.566034113171511,3.3806160338008806e-17,,
CT,TT_count,entropy,0.01813704360308834,0.023060778349351066,0.07198880736792478,1.70738183525297e-19,,,,,4.566034113171511,3.3806160338008806e-17,,
CT,TT_count,heterozygosity,0.030683404348204085,0.0001205653379270445,0.07157985962844976,2.728315012270503e-19,,,,,0.02387193690955481,5.402063724295596e-17,,
AG,AA_count,heterozygosity,0.030683404348204085,0.0001205653379270445,0.07157985962844976,2.728315012270503e-19,,,,,0.02387193690955481,5.402063724295596e-17,,
all,AT_count,entropy,0.006180035945515737,0.017280314126130875,0.07129042215973021,1.8860186476775943e-166,,,,,3.421502196973913,3.734316922401637e-164,,
all,AT_count,heterozygosity,0.02343626777673198,1.7272561216211356e-19,0.07105056627813935,2.4140951494248958e-165,,,,,3.4199671208098486e-17,4.7799083958612935e-163,,
AT,AT_count,label,0.07660301242486327,9.955007641418201e-46,0.060282068632057616,6.136856636739149e-29,0.07660301242486327,9.955007641418201e-46,0.08986424952071081,6.860369855147169e-29,1.971091513000804e-43,1.2150976140743515e-26,6.570305043336012e-44,4.5278441043971315e-27
CT,AT_count,entropy,0.06196018731168842,7.85219124402943e-15,0.043619678843838716,4.5681640422641286e-08,,,,,1.554733866317827e-12,9.044964803682975e-06,,
AG,AT_count,entropy,0.06196018731168842,7.85219124402943e-15,0.043619678843838716,4.5681640422641286e-08,,,,,1.554733866317827e-12,9.044964803682975e-06,,
CT,AT_count,heterozygosity,0.07331791724959297,3.65447393699786e-20,0.0435627269913994,4.755887031904236e-08,,,,,7.235858395255762e-18,9.416656323170387e-06,,
AG,AT_count,heterozygosity,0.07331791724959297,3.65447393699786e-20,0.0435627269913994,4.755887031904236e-08,,,,,7.235858395255762e-18,9.416656323170387e-06,,
