STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AC,all_dinuc_count,entropy,0.2105124286470607,7.360355191425912e-154,0.20757570102717804,1.4710043340301768e-149,,,,,2.1197822951306627e-151,4.236492482006909e-147,,
GT,all_dinuc_count,entropy,0.2105124286470607,7.360355191425912e-154,0.20757570102717804,1.4710043340301768e-149,,,,,2.1197822951306627e-151,4.236492482006909e-147,,
AC,all_dinuc_count,heterozygosity,0.17182926222846148,2.1113488621365696e-102,0.2066503652471748,3.2293766221719297e-148,,,,,6.08068472295332e-100,9.300604671855157e-146,,
GT,all_dinuc_count,heterozygosity,0.17182926222846148,2.1113488621365696e-102,0.2066503652471748,3.2293766221719297e-148,,,,,6.08068472295332e-100,9.300604671855157e-146,,
all,all_dinuc_count,entropy,0.1999119199901277,0.0,0.19706342227318857,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.17438626650254538,0.0,0.19582608236997268,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,minor_freq,0.14825690931536592,1.966700422675996e-76,0.1952441755924626,3.2580589318184806e-132,,,,,5.664097217306868e-74,9.383209723637224e-130,,
GT,all_dinuc_count,minor_freq,0.14825690931536592,1.966700422675996e-76,0.1952441755924626,3.2580589318184806e-132,,,,,5.664097217306868e-74,9.383209723637224e-130,,
all,all_dinuc_count,minor_freq,0.15323175725827354,0.0,0.1851635703818421,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,label,0.2246955298510145,1.459597329329882e-175,0.18504709969076388,9.869919756962156e-119,0.2246955298510145,1.459597329329882e-175,0.2153195230186774,9.859454273789065e-117,4.2036403084700604e-173,2.842536890005101e-116,1.0509100771175151e-173,7.098807077128126e-115
AC,all_dinuc_count,label,0.2246955298510145,1.459597329329882e-175,0.18504709969076388,9.869919756962156e-119,0.2246955298510145,1.459597329329882e-175,0.2153195230186774,9.859454273789065e-117,4.2036403084700604e-173,2.842536890005101e-116,1.0509100771175151e-173,7.098807077128126e-115
AT,STR_length,entropy,0.07504575029113064,1.3918458730978884e-25,0.17666990559153498,1.7587541139725168e-135,,,,,4.0085161145219183e-23,5.065211848240848e-133,,
AT,STR_length,heterozygosity,0.08043914054076996,3.6997395940146077e-29,0.17660258576687857,2.2311965681020586e-135,,,,,1.065525003076207e-26,6.425846116133929e-133,,
AT,STR_length,label,0.17315672164905035,3.8197018353156795e-130,0.1731567216490564,3.819701835335115e-130,0.17315672164905035,3.8197018353156795e-130,0.18551022329490507,3.185872586261067e-128,1.1000741285709157e-127,1.100074128576513e-127,2.7501853214272893e-128,2.2938282621079682e-126
all,all_dinuc_count,label,0.20365602002251307,0.0,0.16883748767997495,0.0,0.20365602002251307,0.0,0.19472368504646098,0.0,0.0,0.0,0.0,0.0
AT,STR_length,minor_freq,0.07603328631379332,3.216563874461374e-26,0.16740101366228458,1.2038855921321187e-121,,,,,9.263703958448757e-24,3.4671905053405016e-119,,
AT,all_dinuc_count,entropy,0.1659710786489541,1.3962585429595806e-119,0.16163331770300313,1.9651635335906462e-113,,,,,4.021224603723592e-117,5.659670976741061e-111,,
AT,all_dinuc_count,heterozygosity,0.15261287694692094,3.41267340520938e-101,0.1584755274408161,4.590334879787659e-109,,,,,9.828499407003015e-99,1.3220164453788457e-106,,
AT,all_dinuc_count,minor_freq,0.13333799960624057,1.7411841121155584e-77,0.15290848200546261,1.3919728591449356e-101,,,,,5.014610242892808e-75,4.008881834337414e-99,,
all,AT_count,entropy,0.18147467347722002,0.0,0.14937993255323628,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.16438523948483819,0.0,0.14885541178569234,0.0,,,,,0.0,0.0,,
all,AT_count,minor_freq,0.14818526709368257,0.0,0.14131692589270825,0.0,,,,,0.0,0.0,,
