STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
GT,all_dinuc_count,entropy,0.19635147711802836,1.0052569673965627e-133,0.2164757735732754,8.527620591765214e-163,,,,,2.8951400661021005e-131,2.4559547304283817e-160,,
AC,all_dinuc_count,entropy,0.19635147711802836,1.0052569673965627e-133,0.2164757735732754,8.527620591765214e-163,,,,,2.8951400661021005e-131,2.4559547304283817e-160,,
GT,all_dinuc_count,heterozygosity,0.163083877808744,2.6738277608683185e-92,0.21599090769533053,4.65153976595648e-162,,,,,7.700623951300757e-90,1.3396434525954663e-159,,
AC,all_dinuc_count,heterozygosity,0.163083877808744,2.6738277608683185e-92,0.21599090769533053,4.65153976595648e-162,,,,,7.700623951300757e-90,1.3396434525954663e-159,,
all,all_dinuc_count,entropy,0.19399521981953025,0.0,0.20620750321822293,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.1702201292655124,0.0,0.2050958212732056,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,minor_freq,0.14213189950963692,2.452175192997018e-70,0.2031120279208714,3.7918901544656145e-143,,,,,7.062264555831412e-68,1.0920643644860969e-140,,
AC,all_dinuc_count,minor_freq,0.14213189950963692,2.452175192997018e-70,0.2031120279208714,3.7918901544656145e-143,,,,,7.062264555831412e-68,1.0920643644860969e-140,,
all,all_dinuc_count,minor_freq,0.15001589137265017,0.0,0.19689896064505025,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,label,0.22110100416693915,6.478629767139138e-170,0.19228805011246916,3.169520532949417e-128,0.22110100416693915,6.478629767139138e-170,0.22342186697179423,6.87698985532638e-126,1.8658453729360717e-167,9.128219134894321e-126,4.664613432340179e-168,4.951432695834994e-124
GT,all_dinuc_count,label,0.22110100416693915,6.478629767139138e-170,0.19228805011246916,3.169520532949417e-128,0.22110100416693915,6.478629767139138e-170,0.22342186697179423,6.87698985532638e-126,1.8658453729360717e-167,9.128219134894321e-126,4.664613432340179e-168,4.951432695834994e-124
AT,all_dinuc_count,entropy,0.16826656342935478,6.63638879339893e-123,0.18391693234671172,7.521765900358635e-147,,,,,1.911279972498892e-120,2.166268579303287e-144,,
AT,all_dinuc_count,heterozygosity,0.15372447839889175,1.1600081828711218e-102,0.18025638813488853,4.782206984976247e-141,,,,,3.340823566668831e-100,1.377275611673159e-138,,
all,all_dinuc_count,label,0.2090235984505314,0.0,0.1798278687714856,0.0,0.2090235984505314,0.0,0.2070756378537162,0.0,0.0,0.0,0.0,0.0
AT,STR_length,entropy,0.07504575029113064,1.3918458730978884e-25,0.17666990559153498,1.7587541139725168e-135,,,,,4.0085161145219183e-23,5.065211848240848e-133,,
AT,STR_length,heterozygosity,0.08043914054076996,3.6997395940146077e-29,0.17660258576687857,2.2311965681020586e-135,,,,,1.065525003076207e-26,6.425846116133929e-133,,
AT,all_dinuc_count,minor_freq,0.13352110237006976,1.0744257977139637e-77,0.17499310571060298,6.405857101471518e-133,,,,,3.094346297416215e-75,1.844886845223797e-130,,
AT,STR_length,label,0.17315672164905035,3.8197018353156795e-130,0.1731567216490564,3.819701835335115e-130,0.17315672164905035,3.8197018353156795e-130,0.18551022329490507,3.185872586261067e-128,1.1000741285709157e-127,1.100074128576513e-127,2.7501853214272893e-128,2.2938282621079682e-126
AT,STR_length,minor_freq,0.07603328631379332,3.216563874461374e-26,0.16740101366228458,1.2038855921321187e-121,,,,,9.263703958448757e-24,3.4671905053405016e-119,,
all,AT_count,entropy,0.17424214982432126,0.0,0.14564384391864363,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.15752207264483656,0.0,0.14500768249233056,0.0,,,,,0.0,0.0,,
AT,all_dinuc_count,label,0.16424142852313053,4.141242994711078e-117,0.14416458995196435,2.1495379746577317e-90,0.16424142852313053,4.141242994711078e-117,0.1830515077080923,1.7711912210040026e-89,1.1926779824767904e-114,6.190669367014267e-88,2.981694956191976e-115,1.2752576791228819e-87
all,AT_count,minor_freq,0.14213972987883167,1.050098569e-314,0.1395236813804208,3.403764533349097e-303,,,,,3.024283879284e-312,9.8028418560454e-301,,
all,AT_count,label,0.1737820774222632,0.0,0.13001292147708013,3.260979984416048e-263,0.1737820774222632,0.0,0.13909092476890472,5.254844005663062e-261,0.0,9.391622355118217e-261,0.0,3.7834876840774044e-259
CT,all_dinuc_count,heterozygosity,0.12121867472007061,1.568758371828849e-34,0.1257298571633249,4.8665887863836345e-37,,,,,4.5180241108670856e-32,1.4015775704784868e-34,,
AG,all_dinuc_count,heterozygosity,0.12121867472007061,1.568758371828849e-34,0.1257298571633249,4.8665887863836345e-37,,,,,4.5180241108670856e-32,1.4015775704784868e-34,,
CT,all_dinuc_count,entropy,0.14165959751882662,1.2003456824229435e-46,0.12566086104843463,5.3246550680532185e-37,,,,,3.456995565378077e-44,1.533500659599327e-34,,
AG,all_dinuc_count,entropy,0.14165959751882662,1.2003456824229435e-46,0.12566086104843463,5.3246550680532185e-37,,,,,3.456995565378077e-44,1.533500659599327e-34,,
CT,all_dinuc_count,minor_freq,0.11069165089414831,4.865398374575363e-29,0.12525638305519116,9.013100232651013e-37,,,,,1.4012347318777045e-26,2.5957728670034915e-34,,
AG,all_dinuc_count,minor_freq,0.11069165089414831,4.865398374575363e-29,0.12525638305519116,9.013100232651013e-37,,,,,1.4012347318777045e-26,2.5957728670034915e-34,,
AT,AT_count,entropy,0.16253875410204702,1.0571689516104648e-114,0.12208284158825417,3.64306659356483e-65,,,,,3.0446465806381384e-112,1.0492031789466711e-62,,
AT,AT_count,heterozygosity,0.14828784794931546,1.3854463038014644e-95,0.11985087570576922,7.456211851697885e-63,,,,,3.9900853549482176e-93,2.1473890132889908e-60,,
