STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AC,all_dinuc_count,entropy,0.21741015698302846,3.2055061325992252e-164,0.19011198304654173,2.4828682466439016e-125,,,,,9.231857661885768e-162,7.150660550334436e-123,,
GT,all_dinuc_count,entropy,0.21741015698302846,3.2055061325992252e-164,0.19011198304654173,2.4828682466439016e-125,,,,,9.231857661885768e-162,7.150660550334436e-123,,
GT,all_dinuc_count,heterozygosity,0.17761594329419844,2.1542401351983474e-109,0.18902349246404432,6.749948513093236e-124,,,,,6.204211589371241e-107,1.943985171770852e-121,,
AC,all_dinuc_count,heterozygosity,0.17761594329419844,2.1542401351983474e-109,0.18902349246404432,6.749948513093236e-124,,,,,6.204211589371241e-107,1.943985171770852e-121,,
all,all_dinuc_count,entropy,0.20462986050061327,0.0,0.1837417766757995,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,minor_freq,0.1533569592186687,1.0328095086747627e-81,0.18332871875653622,1.54911864092002e-116,,,,,2.9744913849833165e-79,4.461461685849657e-114,,
AC,all_dinuc_count,minor_freq,0.1533569592186687,1.0328095086747627e-81,0.18332871875653622,1.54911864092002e-116,,,,,2.9744913849833165e-79,4.461461685849657e-114,,
all,all_dinuc_count,heterozygosity,0.17861594473081532,0.0,0.1824498048178494,0.0,,,,,0.0,0.0,,
AT,STR_length,entropy,0.07504575029113064,1.3918458730978884e-25,0.17666990559153498,1.7587541139725168e-135,,,,,4.0085161145219183e-23,5.065211848240848e-133,,
AT,STR_length,heterozygosity,0.08043914054076996,3.6997395940146077e-29,0.17660258576687857,2.2311965681020586e-135,,,,,1.065525003076207e-26,6.425846116133929e-133,,
all,all_dinuc_count,minor_freq,0.15727350406169904,0.0,0.1747362722358128,0.0,,,,,0.0,0.0,,
AT,STR_length,label,0.17315672164905035,3.8197018353156795e-130,0.1731567216490564,3.819701835335115e-130,0.17315672164905035,3.8197018353156795e-130,0.18551022329490507,3.185872586261067e-128,1.1000741285709157e-127,1.100074128576513e-127,2.7501853214272893e-128,2.2938282621079682e-126
AC,all_dinuc_count,label,0.22075903017732051,2.2055925707180534e-169,0.17309993836351864,6.461998421688612e-104,0.22075903017732051,2.2055925707180534e-169,0.20153188027310565,2.1681916534311644e-102,6.3521066036679935e-167,1.86105554544632e-101,1.5880266509169984e-167,1.5610979904704383e-100
