STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.24592303773444577,0.0,0.36564468211800744,0.0,,,,,0.0,0.0,,
AT,STR_length,heterozygosity,0.24244904633504297,0.0,0.362862226958842,0.0,,,,,0.0,0.0,,
AT,STR_length,minor_freq,0.22331425235973923,1.235e-321,0.35667970462057114,0.0,,,,,3.55727e-319,0.0,,
AT,STR_length,label,0.30539480199843005,0.0,0.31016861861077444,0.0,0.30539480199843005,0.0,0.4140871230081987,0.0,0.0,0.0,0.0,0.0
GT,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
AC,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
AC,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
all,STR_length,entropy,0.16879657835026343,0.0,0.2693551894259637,0.0,,,,,0.0,0.0,,
AC,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
GT,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
all,STR_length,heterozygosity,0.16202332501794722,0.0,0.26785073389559605,0.0,,,,,0.0,0.0,,
GT,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
AC,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
all,STR_length,minor_freq,0.14891918727038456,0.0,0.2509779223948707,0.0,,,,,0.0,0.0,,
all,STR_length,label,0.23952410826284662,0.0,0.23544734790565752,0.0,0.23952410826284662,0.0,0.2614775412709097,0.0,0.0,0.0,0.0,0.0
AG,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
CT,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
AG,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
CT,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
GT,all_dinuc_count,entropy,0.20590044600150867,1.8265599735196002e-215,0.17980734190503944,5.789796967202215e-164,,,,,5.260492723736449e-213,1.6674615265542378e-161,,
AC,all_dinuc_count,entropy,0.20590044600150867,1.8265599735196002e-215,0.17980734190503944,5.789796967202215e-164,,,,,5.260492723736449e-213,1.6674615265542378e-161,,
AC,all_dinuc_count,heterozygosity,0.17032425233972745,4.3673004420995093e-147,0.1778055189235502,2.5480766886898022e-160,,,,,1.2577825273246587e-144,7.338460863426631e-158,,
GT,all_dinuc_count,heterozygosity,0.17032425233972745,4.3673004420995093e-147,0.1778055189235502,2.5480766886898022e-160,,,,,1.2577825273246587e-144,7.338460863426631e-158,,
all,all_dinuc_count,entropy,0.18932698186773073,0.0,0.17744095421044753,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.17061690273735056,0.0,0.175455014774457,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,minor_freq,0.1499107971507829,5.1311523614427116e-114,0.17366733032620257,6.32329677582893e-153,,,,,1.4777718800955009e-111,1.8211094714387318e-150,,
GT,all_dinuc_count,minor_freq,0.1499107971507829,5.1311523614427116e-114,0.17366733032620257,6.32329677582893e-153,,,,,1.4777718800955009e-111,1.8211094714387318e-150,,
all,all_dinuc_count,minor_freq,0.1516672534163307,0.0,0.16968687213103234,0.0,,,,,0.0,0.0,,
AG,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
AG,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
CT,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AC,all_dinuc_count,label,0.1956455573345633,2.4913006378149687e-194,0.15989109325124717,1.2434840852641766e-129,0.1956455573345633,2.4913006378149687e-194,0.18468838533145004,5.307963672025347e-128,7.17494583690711e-192,3.5812341655608287e-127,1.7937364592267774e-192,3.82173384385825e-126
GT,all_dinuc_count,label,0.1956455573345633,2.4913006378149687e-194,0.15989109325124717,1.2434840852641766e-129,0.1956455573345633,2.4913006378149687e-194,0.18468838533145004,5.307963672025347e-128,7.17494583690711e-192,3.5812341655608287e-127,1.7937364592267774e-192,3.82173384385825e-126
all,AT_count,entropy,0.18057544745485418,0.0,0.15676382641753175,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.16847301447210394,0.0,0.15623998298155478,0.0,,,,,0.0,0.0,,
all,AT_count,minor_freq,0.15361187252166633,0.0,0.15166342430856508,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,label,0.17977611712032185,0.0,0.1516363046381571,0.0,0.17977611712032185,0.0,0.17683906998139554,0.0,0.0,0.0,0.0,0.0
all,AT_count,label,0.15861657994027376,0.0,0.13708457721061262,0.0,0.15861657994027376,0.0,0.15897926346403068,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,entropy,0.1385266159873031,4.130632350854742e-123,0.12233459142749287,3.064329331260135e-96,,,,,1.1896221170461657e-120,8.825268474029189e-94,,
AT,all_dinuc_count,heterozygosity,0.1353467714801572,1.4605678002654854e-117,0.11844619640845976,2.6841400881334613e-90,,,,,4.206435264764598e-115,7.730323453824368e-88,,
AT,all_dinuc_count,minor_freq,0.11940421898036571,9.615088876000107e-92,0.11552071421540701,5.891318325569326e-86,,,,,2.7691455962880308e-89,1.6966996777639657e-83,,
