STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AC,all_dinuc_count,entropy,0.25100655039035397,7.241577081390553e-175,0.21251070014503357,9.212056165153036e-125,,,,,1.5641806495803594e-172,1.9898041316730558e-122,,
GT,all_dinuc_count,entropy,0.25100655039035397,7.241577081390553e-175,0.21251070014503357,9.212056165153036e-125,,,,,1.5641806495803594e-172,1.9898041316730558e-122,,
all,all_dinuc_count,entropy,0.23600091317154953,0.0,0.21231480130822583,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,heterozygosity,0.20746116112771107,7.22360977504678e-119,0.21216508769240053,2.3589485526808647e-124,,,,,1.5602997114101044e-116,5.095328873790668e-122,,
GT,all_dinuc_count,heterozygosity,0.20746116112771107,7.22360977504678e-119,0.21216508769240053,2.3589485526808647e-124,,,,,1.5602997114101044e-116,5.095328873790668e-122,,
all,all_dinuc_count,heterozygosity,0.20729284648884397,0.0,0.2112546790424858,0.0,,,,,0.0,0.0,,
AT,STR_length,label,0.21074035552790357,1.2253740375901976e-137,0.21074035552791345,1.2253740375460754e-137,0.21074035552790357,1.2253740375901976e-137,0.20739399207959042,1.283786255049596e-134,2.6468079211948266e-135,2.646807921099523e-135,8.822693070649422e-136,9.243261036357092e-133
AT,STR_length,heterozygosity,0.11194360662136123,1.547579868730353e-39,0.20337486069696736,4.014421346994876e-128,,,,,3.3427725164575624e-37,8.671150109508932e-126,,
AT,STR_length,entropy,0.10434862022020477,1.49559384124466e-34,0.2029587396798376,1.3497365388598896e-127,,,,,3.230482697088466e-32,2.915430923937362e-125,,
AC,all_dinuc_count,label,0.2672676647016048,7.40333685961238e-199,0.20270494297726638,1.8624343515244544e-113,0.2672676647016048,7.40333685961238e-199,0.258558808103324,3.658914281430413e-111,1.5991207616762741e-196,4.0228581992928214e-111,5.330402538920914e-197,2.6344182826298973e-109
GT,all_dinuc_count,label,0.2672676647016048,7.40333685961238e-199,0.20270494297726638,1.8624343515244544e-113,0.2672676647016048,7.40333685961238e-199,0.258558808103324,3.658914281430413e-111,1.5991207616762741e-196,4.0228581992928214e-111,5.330402538920914e-197,2.6344182826298973e-109
all,all_dinuc_count,label,0.25683773278465744,0.0,0.20099479788419705,0.0,0.25683773278465744,0.0,0.24317597291411408,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,entropy,0.18166026050870612,3.458411911214544e-102,0.17656814641756644,1.4763868528600025e-96,,,,,7.470169728223415e-100,3.1889956021776053e-94,,
AT,all_dinuc_count,label,0.20578943457969906,3.3478294190890964e-131,0.17332031117928154,4.696039176452614e-93,0.20578943457969906,3.3478294190890964e-131,0.20338127727580058,1.090859884417816e-91,7.231311545232448e-129,1.0143444621137645e-90,2.4104371817441493e-129,7.854191167808275e-90
AT,all_dinuc_count,heterozygosity,0.16603058119767367,1.920112820968946e-85,0.17165926263643835,2.73194111100432e-91,,,,,4.147443693292923e-83,5.900992799769331e-89,,
all,AT_count,entropy,0.21315428332934375,0.0,0.15921044850933527,3.231794428199999e-305,,,,,0.0,6.980675964911998e-303,,
all,AT_count,heterozygosity,0.19410658006184808,0.0,0.15868228091484274,3.487610604581453e-303,,,,,0.0,7.533238905895939e-301,,
all,AT_count,label,0.22186451885716352,0.0,0.15116027377092583,5.3561433026798536e-275,0.22186451885716352,0.0,0.1785263365837908,7.088531823580644e-272,0.0,1.1569269533788484e-272,0.0,5.1037429129780635e-270
AT,AT_count,entropy,0.18054872480490528,6.059044611609289e-101,0.13728650553767574,9.398310304220376e-59,,,,,1.3087536361076065e-98,2.0300350257116011e-56,,
AT,AT_count,heterozygosity,0.16494517402362238,2.4390360816981893e-84,0.1334689925605149,1.3302518876512824e-55,,,,,5.268317936468089e-82,2.87334407732677e-53,,
AT,AT_count,label,0.17840194954296046,1.4492751439388004e-98,0.13244235828560885,9.03022310189e-55,0.17840194954296046,1.4492751439388004e-98,0.1546256245444887,2.6055854161697113e-54,3.1304343109078087e-96,1.95052819000824e-52,1.0434781036359363e-96,1.876021499642192e-52
CT,all_dinuc_count,heterozygosity,0.13742894928406327,2.3412759368651097e-35,0.12321959214831006,1.0562473662633904e-28,,,,,5.057156023628637e-33,2.2814943111289234e-26,,
AG,all_dinuc_count,heterozygosity,0.13742894928406327,2.3412759368651097e-35,0.12321959214831006,1.0562473662633904e-28,,,,,5.057156023628637e-33,2.2814943111289234e-26,,
AC,STR_length,entropy,0.054924009742715225,1.2437777293801345e-09,0.1230119739736035,2.1184896131907234e-42,,,,,2.6865598954610907e-07,4.575937564491963e-40,,
GT,STR_length,entropy,0.054924009742715225,1.2437777293801345e-09,0.1230119739736035,2.1184896131907234e-42,,,,,2.6865598954610907e-07,4.575937564491963e-40,,
AG,all_dinuc_count,entropy,0.1604329477482697,1.0290624409581483e-47,0.12293221940869845,1.4148891839942427e-28,,,,,2.2227748724696003e-45,3.0561606374275644e-26,,
