STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
AG,all_dinuc_count,entropy,0.04618235899964584,5.6758708006019274e-11,0.10305803488889966,1.3006402302526797e-48,,,,,1.1238224185191816e-08,2.575267655900306e-46,,
CT,all_dinuc_count,entropy,0.04618235899964584,5.6758708006019274e-11,0.10305803488889966,1.3006402302526797e-48,,,,,1.1238224185191816e-08,2.575267655900306e-46,,
CT,all_dinuc_count,heterozygosity,0.05754801628693832,3.1634451966461816e-16,0.10227771168230036,6.675221455670351e-48,,,,,6.26362148935944e-14,1.3216938482227295e-45,,
AG,all_dinuc_count,heterozygosity,0.05754801628693832,3.1634451966461816e-16,0.10227771168230036,6.675221455670351e-48,,,,,6.26362148935944e-14,1.3216938482227295e-45,,
CT,all_dinuc_count,label,0.1155620963964315,9.64818521063178e-61,0.09989013772001282,9.20239091571643e-46,0.1155620963964315,9.64818521063178e-61,0.1161145911972713,1.51538486689058e-45,1.9103406717050926e-58,1.822073401311853e-43,6.367802239016975e-59,1.0001540121477828e-43
AG,all_dinuc_count,label,0.1155620963964315,9.64818521063178e-61,0.09989013772001282,9.20239091571643e-46,0.1155620963964315,9.64818521063178e-61,0.1161145911972713,1.51538486689058e-45,1.9103406717050926e-58,1.822073401311853e-43,6.367802239016975e-59,1.0001540121477828e-43
all,all_dinuc_count,label,0.10781469315761653,0.0,0.09202356043550146,0.0,0.10781469315761653,0.0,0.12135667995882704,0.0,0.0,0.0,0.0,0.0
all,AT_count,label,0.10468279666753864,0.0,0.09084058749352215,0.0,0.10468279666753864,0.0,0.11154059658215643,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,label,0.09387689724793306,4.5893927169865424e-83,0.08111923255621006,1.9980246776288757e-62,0.09387689724793306,4.5893927169865424e-83,0.13201581798915374,3.148016188478871e-62,9.086997579633354e-81,3.956088861705174e-60,3.028999193211118e-81,2.0776906843960549e-60
AG,AA_count,label,0.09180382526415669,6.777095896256485e-39,0.07194913737378421,1.6910923857715987e-24,0.09180382526415669,6.777095896256485e-39,0.0772146314194132,1.9307591885683667e-24,1.341864987458784e-36,3.3483629238277657e-22,4.4728832915292805e-37,1.2743010644551221e-22
CT,TT_count,label,0.09180382526415669,6.777095896256485e-39,0.07194913737378421,1.6910923857715987e-24,0.09180382526415669,6.777095896256485e-39,0.0772146314194132,1.9307591885683667e-24,1.341864987458784e-36,3.3483629238277657e-22,4.4728832915292805e-37,1.2743010644551221e-22
all,AT_count,entropy,0.008560763103512059,0.00030775399444222786,0.06851576159652076,7.63944536048259e-184,,,,,0.060935290899561116,1.5126101813755528e-181,,
