STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
GT,all_dinuc_count,entropy,0.2146115405172511,5.671511365394669e-160,0.19651283654181,6.044605301380223e-134,,,,,1.6333952732336648e-157,1.7408463267975042e-131,,
AC,all_dinuc_count,entropy,0.2146115405172511,5.671511365394669e-160,0.19651283654181,6.044605301380223e-134,,,,,1.6333952732336648e-157,1.7408463267975042e-131,,
GT,all_dinuc_count,heterozygosity,0.17547870990671618,8.789899678824016e-107,0.19539874698464432,2.0073850410016458e-132,,,,,2.5314911075013166e-104,5.78126891808474e-130,,
AC,all_dinuc_count,heterozygosity,0.17547870990671618,8.789899678824016e-107,0.19539874698464432,2.0073850410016458e-132,,,,,2.5314911075013166e-104,5.78126891808474e-130,,
AC,all_dinuc_count,minor_freq,0.1514061488427062,1.1363404708479656e-79,0.1879801823549803,1.569774935142557e-122,,,,,3.272660556042141e-77,4.520951813210564e-120,,
GT,all_dinuc_count,minor_freq,0.1514061488427062,1.1363404708479656e-79,0.1879801823549803,1.569774935142557e-122,,,,,3.272660556042141e-77,4.520951813210564e-120,,
all,all_dinuc_count,entropy,0.20132386409574998,0.0,0.18738095357062937,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.17582489447976274,0.0,0.1860554222479689,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,minor_freq,0.154294554569106,0.0,0.1781433561771121,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,label,0.22275192887662937,1.6991271792426717e-172,0.1770953470159535,9.38219385646066e-109,0.22275192887662937,1.6991271792426717e-172,0.20614856378078283,4.423645796962043e-107,4.8934862762188946e-170,2.70207183066067e-106,1.2233715690547236e-170,3.185024973812671e-105
