STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.24592303773444577,0.0,0.36564468211800744,0.0,,,,,0.0,0.0,,
AT,STR_length,heterozygosity,0.24244904633504297,0.0,0.362862226958842,0.0,,,,,0.0,0.0,,
AT,STR_length,minor_freq,0.22331425235973923,1.235e-321,0.35667970462057114,0.0,,,,,3.55727e-319,0.0,,
AT,STR_length,label,0.30539480199843005,0.0,0.31016861861077444,0.0,0.30539480199843005,0.0,0.4140871230081987,0.0,0.0,0.0,0.0,0.0
AC,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
AC,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
GT,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
all,STR_length,entropy,0.16879657835026343,0.0,0.2693551894259637,0.0,,,,,0.0,0.0,,
GT,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
AC,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
all,STR_length,heterozygosity,0.16202332501794722,0.0,0.26785073389559605,0.0,,,,,0.0,0.0,,
GT,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
AC,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
all,STR_length,minor_freq,0.14891918727038456,0.0,0.2509779223948707,0.0,,,,,0.0,0.0,,
all,STR_length,label,0.23952410826284662,0.0,0.23544734790565752,0.0,0.23952410826284662,0.0,0.2614775412709097,0.0,0.0,0.0,0.0,0.0
GT,all_dinuc_count,entropy,0.19122101419356327,1.4320057721946263e-185,0.20514688395787253,7.153403693628908e-214,,,,,4.124176623920524e-183,2.0601802637651254e-211,,
AC,all_dinuc_count,entropy,0.19122101419356327,1.4320057721946263e-185,0.20514688395787253,7.153403693628908e-214,,,,,4.124176623920524e-183,2.0601802637651254e-211,,
AG,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
CT,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
GT,all_dinuc_count,heterozygosity,0.16215797625547454,2.516761479165152e-133,0.20378507081701988,5.212353661413385e-211,,,,,7.248273059995637e-131,1.5011578544870547e-208,,
AC,all_dinuc_count,heterozygosity,0.16215797625547454,2.516761479165152e-133,0.20378507081701988,5.212353661413385e-211,,,,,7.248273059995637e-131,1.5011578544870547e-208,,
CT,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
AG,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
all,all_dinuc_count,entropy,0.1858006649819006,0.0,0.19837381029221549,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.16854373280367596,0.0,0.19657013662337872,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,minor_freq,0.14534910709974982,3.1506453646340876e-107,0.19363426256317026,2.5410533297020255e-190,,,,,9.073858650146171e-105,7.318233589541833e-188,,
GT,all_dinuc_count,minor_freq,0.14534910709974982,3.1506453646340876e-107,0.19363426256317026,2.5410533297020255e-190,,,,,9.073858650146171e-105,7.318233589541833e-188,,
all,all_dinuc_count,minor_freq,0.1514532938921058,0.0,0.18967522756945085,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,label,0.19939825689514562,6.276464186819152e-202,0.17907949365645962,1.23722864615353e-162,0.19939825689514562,6.276464186819152e-202,0.20643746783006733,4.688852322586398e-160,1.8076216858039158e-199,3.5632185009221664e-160,4.5190542145097896e-200,3.3759736722622067e-158
AC,all_dinuc_count,label,0.19939825689514562,6.276464186819152e-202,0.17907949365645962,1.23722864615353e-162,0.19939825689514562,6.276464186819152e-202,0.20643746783006733,4.688852322586398e-160,1.8076216858039158e-199,3.5632185009221664e-160,4.5190542145097896e-200,3.3759736722622067e-158
all,all_dinuc_count,label,0.1923569447437446,0.0,0.17038550707015884,0.0,0.1923569447437446,0.0,0.1982657269606719,0.0,0.0,0.0,0.0,0.0
CT,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
AG,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AG,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AT,all_dinuc_count,entropy,0.14816745608138368,9.470667918682929e-141,0.15764273537233112,2.715602071620848e-159,,,,,2.7275523605806833e-138,7.820933966268043e-157,,
AT,all_dinuc_count,heterozygosity,0.142219844826095,1.0095846500401892e-129,0.15322608170406107,1.68415670862644e-150,,,,,2.907603792115745e-127,4.850371320844147e-148,,
all,AT_count,entropy,0.1715285039785359,0.0,0.15132411587745223,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.16039350576023365,0.0,0.15054519306611147,0.0,,,,,0.0,0.0,,
AT,all_dinuc_count,minor_freq,0.12674119242914714,3.264357070163711e-103,0.14901323422488819,2.3441781133891673e-142,,,,,9.401348362071488e-101,6.751232966560802e-140,,
all,AT_count,minor_freq,0.14703662244459428,0.0,0.14648225278181548,0.0,,,,,0.0,0.0,,
all,AT_count,label,0.16451772410720417,0.0,0.13268742066880523,0.0,0.16451772410720417,0.0,0.14368411643771084,0.0,0.0,0.0,0.0,0.0
