STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
CT,all_dinuc_count,entropy,0.04469818686312491,2.2790026401993744e-10,0.09833851452255518,2.1227043174503015e-44,,,,,4.512425227594761e-08,4.202954548551597e-42,,
AG,all_dinuc_count,entropy,0.04469818686312491,2.2790026401993744e-10,0.09833851452255518,2.1227043174503015e-44,,,,,4.512425227594761e-08,4.202954548551597e-42,,
AG,all_dinuc_count,heterozygosity,0.05259885143459485,8.422425288196124e-14,0.09751515047782473,1.1000355528202043e-43,,,,,1.6676402070628327e-11,2.1780703945840046e-41,,
CT,all_dinuc_count,heterozygosity,0.05259885143459485,8.422425288196124e-14,0.09751515047782473,1.1000355528202043e-43,,,,,1.6676402070628327e-11,2.1780703945840046e-41,,
all,AT_count,label,0.10504115441293009,0.0,0.09598666478977236,0.0,0.10504115441293009,0.0,0.12412789793939827,0.0,0.0,0.0,0.0,0.0
AG,all_dinuc_count,label,0.1026232307348531,3.24057782484072e-48,0.09181094854996615,6.687304137103226e-39,0.1026232307348531,3.24057782484072e-48,0.10693616956617269,9.536562197359862e-39,6.416344093184626e-46,1.3240862191464387e-36,2.1387813643948752e-46,6.29413105025751e-37
CT,all_dinuc_count,label,0.1026232307348531,3.24057782484072e-48,0.09181094854996615,6.687304137103226e-39,0.1026232307348531,3.24057782484072e-48,0.10693616956617269,9.536562197359862e-39,6.416344093184626e-46,1.3240862191464387e-36,2.1387813643948752e-46,6.29413105025751e-37
all,all_dinuc_count,label,0.10604912473085722,0.0,0.08923418982075793,0.0,0.10604912473085722,0.0,0.11787274151506166,1.22040729780647e-309,0.0,0.0,0.0,8.054688165522715e-308
all,AT_count,entropy,0.006125907743044138,0.009815053756748439,0.07456749503156924,1.8358695258328176e-217,,,,,1.943380643836191,3.6350216611489787e-215,,
all,AT_count,heterozygosity,0.021053419350940808,6.9538352756429295e-19,0.07437186679025277,2.4858525943748815e-216,,,,,1.3768593845773e-16,4.921988136862266e-214,,
CT,TT_count,label,0.08196148333814059,2.5347563910009768e-31,0.07187082490919161,1.8969812724355267e-24,0.08196148333814059,2.5347563910009768e-31,0.08153092431274311,2.1645634777165565e-24,5.018817654181934e-29,3.756022919422343e-22,1.6729392180606448e-29,1.4286118952929273e-22
AG,AA_count,label,0.08196148333814059,2.5347563910009768e-31,0.07187082490919161,1.8969812724355267e-24,0.08196148333814059,2.5347563910009768e-31,0.08153092431274311,2.1645634777165565e-24,5.018817654181934e-29,3.756022919422343e-22,1.6729392180606448e-29,1.4286118952929273e-22
CT,TT_count,entropy,0.011197190989002485,0.1123355899007058,0.06916274568126132,9.339792091881043e-23,,,,,22.24244680033975,1.8492788341924463e-20,,
AG,AA_count,entropy,0.011197190989002485,0.1123355899007058,0.06916274568126132,9.339792091881043e-23,,,,,22.24244680033975,1.8492788341924463e-20,,
CT,TT_count,heterozygosity,0.021266194612550034,0.002562752676180656,0.0686813257034166,1.8383865186830975e-22,,,,,0.5074250298837699,3.640005306992533e-20,,
AG,AA_count,heterozygosity,0.021266194612550034,0.002562752676180656,0.0686813257034166,1.8383865186830975e-22,,,,,0.5074250298837699,3.640005306992533e-20,,
AT,all_dinuc_count,label,0.07940809058599337,6.889385275115678e-60,0.06649261682449638,1.7412160953555788e-42,0.07940809058599337,6.889385275115678e-60,0.10835927027637493,2.1356631257684267e-42,1.364098284472904e-57,3.4476078688040462e-40,4.546994281576347e-58,1.4095376630071615e-40
AT,AT_count,label,0.06495895589648874,1.2665015289412856e-40,0.05163626149348167,2.858102135988249e-26,0.06495895589648874,1.2665015289412856e-40,0.08366490283213635,3.076484945523229e-26,2.5076730273037455e-38,5.659042229256733e-24,8.358910091012485e-39,2.030480064045331e-24
AT,all_dinuc_count,entropy,-0.015064695992447827,0.0019897259392123016,0.04494179160866867,2.766492544297085e-20,,,,,0.3939657359640357,5.477655237708229e-18,,
AT,all_dinuc_count,heterozygosity,0.008908807342544314,0.06750346260477397,0.04385780048221504,2.159463345261199e-19,,,,,13.365685595745246,4.275737423617174e-17,,
GT,all_dinuc_count,label,0.0638363599163593,3.0344538957619827e-44,0.039986620958110904,2.450217109295801e-18,0.0638363599163593,3.0344538957619827e-44,0.05461600911258235,2.5240359203937572e-18,6.008218713608726e-42,4.851429876405686e-16,2.0027395712029085e-42,1.6658637074598797e-16
AC,all_dinuc_count,label,0.0638363599163593,3.0344538957619827e-44,0.039986620958110904,2.450217109295801e-18,0.0638363599163593,3.0344538957619827e-44,0.05461600911258235,2.5240359203937572e-18,6.008218713608726e-42,4.851429876405686e-16,2.0027395712029085e-42,1.6658637074598797e-16
GT,AG_count,entropy,0.03673567520324092,1.025600691730485e-15,0.038004080613575394,1.032420332640509e-16,,,,,2.03068936962636e-13,2.0441922586282078e-14,,
AC,CT_count,entropy,0.03673567520324092,1.025600691730485e-15,0.038004080613575394,1.032420332640509e-16,,,,,2.03068936962636e-13,2.0441922586282078e-14,,
AC,AT_count,label,0.06191561952850453,1.0130894295948358e-41,0.0377963138839426,1.5116327526204722e-16,0.06191561952850453,1.0130894295948358e-41,0.050521811142269724,1.5477483362706539e-16,2.005917070597775e-39,2.993032850188535e-14,6.686390235325916e-40,1.0215139019386316e-14
