STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
AG,all_dinuc_count,label,0.13792282874306488,1.5939152706221954e-67,0.11503089530638418,2.190711752430914e-47,0.13792282874306488,1.5939152706221954e-67,0.13291844044532675,4.3523986277346036e-47,3.155952235831947e-65,4.3376092698132097e-45,1.051984078610649e-65,2.8725830943048386e-45
CT,all_dinuc_count,label,0.13792282874306488,1.5939152706221954e-67,0.11503089530638418,2.190711752430914e-47,0.13792282874306488,1.5939152706221954e-67,0.13291844044532675,4.3523986277346036e-47,3.155952235831947e-65,4.3376092698132097e-45,1.051984078610649e-65,2.8725830943048386e-45
CT,all_dinuc_count,entropy,0.05702649031357659,8.665574930318903e-13,0.10866707148867963,1.899354574017892e-42,,,,,1.7157838362031426e-10,3.7607220565554265e-40,,
AG,all_dinuc_count,entropy,0.05702649031357659,8.665574930318903e-13,0.10866707148867963,1.899354574017892e-42,,,,,1.7157838362031426e-10,3.7607220565554265e-40,,
CT,all_dinuc_count,heterozygosity,0.07107842135338764,4.829874594453906e-19,0.10790408105998256,7.104223392968494e-42,,,,,9.563151697018733e-17,1.4066362318077616e-39,,
AG,all_dinuc_count,heterozygosity,0.07107842135338764,4.829874594453906e-19,0.10790408105998256,7.104223392968494e-42,,,,,9.563151697018733e-17,1.4066362318077616e-39,,
all,AT_count,label,0.11777406346593466,0.0,0.1023468580705455,0.0,0.11777406346593466,0.0,0.1189489354700125,0.0,0.0,0.0,0.0,0.0
all,all_dinuc_count,label,0.11787174625818606,0.0,0.09824958216223065,0.0,0.11787174625818606,0.0,0.1226449004999347,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,label,0.11057021011329703,1.3987795525014623e-93,0.09588146175178734,9.875335310243092e-71,0.11057021011329703,1.3987795525014623e-93,0.14356275879446945,2.0352703087385862e-70,2.7695835139528956e-91,1.9553163914281324e-68,9.231945046509651e-92,1.3432784037674668e-68
AG,AA_count,label,0.10298802833393739,2.7855968848457926e-38,0.07738244622295369,2.755899225845621e-22,0.10298802833393739,2.7855968848457926e-38,0.08233774914710612,3.1643805303408657e-22,5.5154818319946696e-36,5.45668046717433e-20,1.8384939439982232e-36,2.0884911500249714e-20
CT,TT_count,label,0.10298802833393739,2.7855968848457926e-38,0.07738244622295369,2.755899225845621e-22,0.10298802833393739,2.7855968848457926e-38,0.08233774914710612,3.1643805303408657e-22,5.5154818319946696e-36,5.45668046717433e-20,1.8384939439982232e-36,2.0884911500249714e-20
CT,TT_count,entropy,0.01396755660189097,0.0801244654542818,0.07057863368058065,8.500591298654681e-19,,,,,15.864644159947796,1.6831170771336267e-16,,
AG,AA_count,entropy,0.01396755660189097,0.0801244654542818,0.07057863368058065,8.500591298654681e-19,,,,,15.864644159947796,1.6831170771336267e-16,,
AG,AA_count,heterozygosity,0.02759608936653531,0.0005443165252157003,0.06995829955791273,1.7053100635459368e-18,,,,,0.10777467199270867,3.376513925820955e-16,,
CT,TT_count,heterozygosity,0.02759608936653531,0.0005443165252157003,0.06995829955791273,1.7053100635459368e-18,,,,,0.10777467199270867,3.376513925820955e-16,,
all,AT_count,entropy,0.009979974816440685,0.00012076433211299188,0.06564462464981725,2.1924182775576897e-141,,,,,0.02391133775837239,4.3409881895642255e-139,,
all,AT_count,heterozygosity,0.026935861314403817,3.119793227107756e-25,0.06513617873124534,3.1345959474650417e-139,,,,,6.177190589673357e-23,6.206499975980783e-137,,
AT,AT_count,label,0.07821018094095325,1.3438304704005894e-47,0.06196462854939461,1.74338171205853e-30,0.07821018094095325,1.3438304704005894e-47,0.09057843325157178,1.9746250429824317e-30,2.660784331393167e-45,3.4518957898758893e-28,8.86928110464389e-46,1.3032525283684049e-28
AC,CT_count,entropy,0.055428174809693406,1.5769545402816781e-29,0.059332783737187464,1.345743054987346e-33,,,,,3.1223699897577228e-27,2.664571248874945e-31,,
GT,AG_count,entropy,0.055428174809693406,1.5769545402816781e-29,0.059332783737187464,1.345743054987346e-33,,,,,3.1223699897577228e-27,2.664571248874945e-31,,
AC,CT_count,heterozygosity,0.04915437216946427,1.448824117538249e-23,0.05818394305029564,2.2628905262646806e-32,,,,,2.8686717527257327e-21,4.480523242004067e-30,,
GT,AG_count,heterozygosity,0.04915437216946427,1.448824117538249e-23,0.05818394305029564,2.2628905262646806e-32,,,,,2.8686717527257327e-21,4.480523242004067e-30,,
