STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.07504575029113064,1.3918458730978884e-25,0.17666990559153498,1.7587541139725168e-135,,,,,4.0085161145219183e-23,5.065211848240848e-133,,
AT,STR_length,heterozygosity,0.08043914054076996,3.6997395940146077e-29,0.17660258576687857,2.2311965681020586e-135,,,,,1.065525003076207e-26,6.425846116133929e-133,,
AT,STR_length,label,0.17315672164905035,3.8197018353156795e-130,0.1731567216490564,3.819701835335115e-130,0.17315672164905035,3.8197018353156795e-130,0.18551022329490507,3.185872586261067e-128,1.1000741285709157e-127,1.100074128576513e-127,2.7501853214272893e-128,2.2938282621079682e-126
all,all_dinuc_count,entropy,0.14810364337808435,0.0,0.17106612427910647,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.13791732240614574,3.090352560420569e-296,0.17018862098773202,0.0,,,,,8.900215374011238e-294,0.0,,
AT,STR_length,minor_freq,0.07603328631379332,3.216563874461374e-26,0.16740101366228458,1.2038855921321187e-121,,,,,9.263703958448757e-24,3.4671905053405016e-119,,
all,all_dinuc_count,minor_freq,0.12641742010960305,7.39366932394187e-249,0.1628901852477128,0.0,,,,,2.1293767652952586e-246,0.0,,
GT,all_dinuc_count,entropy,0.13427882151122736,6.551566722552328e-63,0.1613570715587139,2.2718124184959058e-90,,,,,1.8868512160950704e-60,6.542819765268208e-88,,
AC,all_dinuc_count,entropy,0.13427882151122736,6.551566722552328e-63,0.1613570715587139,2.2718124184959058e-90,,,,,1.8868512160950704e-60,6.542819765268208e-88,,
GT,all_dinuc_count,heterozygosity,0.12171688366241629,6.236435742075095e-52,0.16110694117171917,4.305659275502889e-90,,,,,1.7960934937176272e-49,1.240029871344832e-87,,
AC,all_dinuc_count,heterozygosity,0.12171688366241629,6.236435742075095e-52,0.16110694117171917,4.305659275502889e-90,,,,,1.7960934937176272e-49,1.240029871344832e-87,,
AT,all_dinuc_count,entropy,0.12416030054784108,2.3505897667829236e-67,0.1593595375042652,2.805582365827733e-110,,,,,6.76969852833482e-65,8.080077213583872e-108,,
AT,all_dinuc_count,heterozygosity,0.1178213326105007,8.632705576965206e-61,0.15657623680281513,1.7612570590664032e-106,,,,,2.486219206165979e-58,5.072420330111241e-104,,
GT,all_dinuc_count,minor_freq,0.11024652723320047,7.228607782055775e-43,0.15297483784262195,2.6064454240800577e-81,,,,,2.0818390412320633e-40,7.506562821350567e-79,,
AC,all_dinuc_count,minor_freq,0.11024652723320047,7.228607782055775e-43,0.15297483784262195,2.6064454240800577e-81,,,,,2.0818390412320633e-40,7.506562821350567e-79,,
AT,all_dinuc_count,minor_freq,0.10466697022692452,2.7652070444555923e-48,0.15125459400089586,2.0537572494112185e-99,,,,,7.963796288032107e-46,5.914820878304309e-97,,
all,all_dinuc_count,label,0.17501468472926912,0.0,0.1480306230866344,0.0,0.17501468472926912,0.0,0.1657592914396191,0.0,0.0,0.0,0.0,0.0
GT,all_dinuc_count,label,0.17068688417675149,4.7403207377771236e-101,0.14314454022480755,2.512612760753401e-71,0.17068688417675149,4.7403207377771236e-101,0.16219896264862788,1.2811251975329151e-70,1.3652123724798115e-98,7.236324750969795e-69,3.413030931199529e-99,9.224101422236989e-69
AC,all_dinuc_count,label,0.17068688417675149,4.7403207377771236e-101,0.14314454022480755,2.512612760753401e-71,0.17068688417675149,4.7403207377771236e-101,0.16219896264862788,1.2811251975329151e-70,1.3652123724798115e-98,7.236324750969795e-69,3.413030931199529e-99,9.224101422236989e-69
AG,all_dinuc_count,entropy,0.17469979373004083,2.2906315590390994e-70,0.1373727386227186,6.032410380070582e-44,,,,,6.597018890032606e-68,1.7373341894603277e-41,,
CT,all_dinuc_count,entropy,0.17469979373004083,2.2906315590390994e-70,0.1373727386227186,6.032410380070582e-44,,,,,6.597018890032606e-68,1.7373341894603277e-41,,
CT,all_dinuc_count,heterozygosity,0.15733131990074925,2.9715946310342446e-57,0.13703677736459888,9.740331948422704e-44,,,,,8.558192537378625e-55,2.805215601145739e-41,,
AG,all_dinuc_count,heterozygosity,0.15733131990074925,2.9715946310342446e-57,0.13703677736459888,9.740331948422704e-44,,,,,8.558192537378625e-55,2.805215601145739e-41,,
AG,all_dinuc_count,minor_freq,0.15310412678266605,2.80263767483986e-54,0.1310207118317347,4.228629613520205e-40,,,,,8.071596503538797e-52,1.217845328693819e-37,,
