STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,all_dinuc_count,entropy,0.1503695990211694,2.9042811423197537e-98,0.19244014930515754,7.591230063664338e-161,,,,,8.36432968988089e-96,2.186274258335329e-158,,
all,all_dinuc_count,entropy,0.15867113977753955,0.0,0.18975648383016014,0.0,,,,,0.0,0.0,,
AT,all_dinuc_count,heterozygosity,0.14060475540497602,4.917006677756722e-86,0.18936307042134876,1.0268471221266856e-155,,,,,1.416097923193936e-83,2.9573197117248546e-153,,
all,all_dinuc_count,heterozygosity,0.14545264065266789,0.0,0.18920631208300032,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,heterozygosity,0.12350788112335964,1.982149074118842e-53,0.18470310869265352,2.726587049871573e-118,,,,,5.708589333462265e-51,7.85257070363013e-116,,
AC,all_dinuc_count,heterozygosity,0.12350788112335964,1.982149074118842e-53,0.18470310869265352,2.726587049871573e-118,,,,,5.708589333462265e-51,7.85257070363013e-116,,
GT,all_dinuc_count,entropy,0.1382576058417615,1.2822770302817003e-66,0.18432933109203503,8.206260368095292e-118,,,,,3.692957847211297e-64,2.363402986011444e-115,,
AC,all_dinuc_count,entropy,0.1382576058417615,1.2822770302817003e-66,0.18432933109203503,8.206260368095292e-118,,,,,3.692957847211297e-64,2.363402986011444e-115,,
AT,all_dinuc_count,minor_freq,0.12465309810824626,7.015496244206419e-68,0.18405329830611364,4.54701319160232e-147,,,,,2.0204629183314485e-65,1.3095397991814682e-144,,
all,all_dinuc_count,minor_freq,0.13207012283604996,1.296313096556142e-271,0.18203051474773502,0.0,,,,,3.733381718081689e-269,0.0,,
AT,STR_length,entropy,0.07504575029113064,1.3918458730978884e-25,0.17666990559153498,1.7587541139725168e-135,,,,,4.0085161145219183e-23,5.065211848240848e-133,,
AT,STR_length,heterozygosity,0.08043914054076996,3.6997395940146077e-29,0.17660258576687857,2.2311965681020586e-135,,,,,1.065525003076207e-26,6.425846116133929e-133,,
AC,all_dinuc_count,minor_freq,0.11140895944536006,9.593431686508868e-44,0.17348392045975428,2.241176550040158e-104,,,,,2.762908325714554e-41,6.4545884641156545e-102,,
GT,all_dinuc_count,minor_freq,0.11140895944536006,9.593431686508868e-44,0.17348392045975428,2.241176550040158e-104,,,,,2.762908325714554e-41,6.4545884641156545e-102,,
AT,STR_length,label,0.17315672164905035,3.8197018353156795e-130,0.1731567216490564,3.819701835335115e-130,0.17315672164905035,3.8197018353156795e-130,0.18551022329490507,3.185872586261067e-128,1.1000741285709157e-127,1.100074128576513e-127,2.7501853214272893e-128,2.2938282621079682e-126
AT,STR_length,minor_freq,0.07603328631379332,3.216563874461374e-26,0.16740101366228458,1.2038855921321187e-121,,,,,9.263703958448757e-24,3.4671905053405016e-119,,
all,all_dinuc_count,label,0.18793171711192996,0.0,0.16652727696042194,0.0,0.18793171711192996,0.0,0.1908343361050041,0.0,0.0,0.0,0.0,0.0
AC,all_dinuc_count,label,0.1879462029352738,1.73863284648137e-122,0.16476726546786666,3.354629251253145e-94,0.1879462029352738,1.73863284648137e-122,0.1905797011972552,5.958813627114665e-93,5.007262597866346e-120,9.661332243609057e-92,1.2518156494665865e-120,4.290345811522559e-91
GT,all_dinuc_count,label,0.1879462029352738,1.73863284648137e-122,0.16476726546786666,3.354629251253145e-94,0.1879462029352738,1.73863284648137e-122,0.1905797011972552,5.958813627114665e-93,5.007262597866346e-120,9.661332243609057e-92,1.2518156494665865e-120,4.290345811522559e-91
AT,all_dinuc_count,label,0.16657464040141362,1.887496158826446e-120,0.15729571063870498,1.865596923330784e-107,0.16657464040141362,1.887496158826446e-120,0.19888504268815976,3.7446459438526985e-106,5.4359889374201645e-118,5.3729191391926584e-105,1.3589972343550411e-118,2.696145079573943e-104
AG,all_dinuc_count,entropy,0.1485252222558754,3.75546570301422e-51,0.13061892217088625,7.297622211238869e-40,,,,,1.0815741224680953e-48,2.1017151968367945e-37,,
CT,all_dinuc_count,entropy,0.1485252222558754,3.75546570301422e-51,0.13061892217088625,7.297622211238869e-40,,,,,1.0815741224680953e-48,2.1017151968367945e-37,,
AG,all_dinuc_count,heterozygosity,0.13306449815221402,2.5656756128760316e-41,0.13060751898312448,7.411332207276913e-40,,,,,7.389145765082971e-39,2.134463675695751e-37,,
CT,all_dinuc_count,heterozygosity,0.13306449815221402,2.5656756128760316e-41,0.13060751898312448,7.411332207276913e-40,,,,,7.389145765082971e-39,2.134463675695751e-37,,
CT,all_dinuc_count,minor_freq,0.12785865245597858,2.958745324431227e-38,0.1265653553832788,1.630850368697167e-37,,,,,8.521186534361933e-36,4.696849061847841e-35,,
AG,all_dinuc_count,minor_freq,0.12785865245597858,2.958745324431227e-38,0.1265653553832788,1.630850368697167e-37,,,,,8.521186534361933e-36,4.696849061847841e-35,,
all,AT_count,entropy,0.12927593326701461,3.08831202710953e-260,0.12563882574427876,8.37201158321757e-246,,,,,8.894338638075447e-258,2.41113933596666e-243,,
all,AT_count,heterozygosity,0.11954409993915968,1.4394736786922436e-222,0.1251149857774952,9.259953853646151e-244,,,,,4.145684194633661e-220,2.6668667098500917e-241,,
all,AT_count,minor_freq,0.11025814800258225,1.9154020555197267e-189,0.12234653941027927,4.1861773363882025e-233,,,,,5.516357919896813e-187,1.2056190728798023e-230,,
GT,STR_length,entropy,0.03933941253515848,1.0377690225352654e-06,0.11778319199203105,1.0145359401991609e-48,,,,,0.0002988774784901564,2.9218635077735833e-46,,
