STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.24592303773444577,0.0,0.36564468211800744,0.0,,,,,0.0,0.0,,
AT,STR_length,heterozygosity,0.24244904633504297,0.0,0.362862226958842,0.0,,,,,0.0,0.0,,
AT,STR_length,minor_freq,0.22331425235973923,1.235e-321,0.35667970462057114,0.0,,,,,3.55727e-319,0.0,,
AT,STR_length,label,0.30539480199843005,0.0,0.31016861861077444,0.0,0.30539480199843005,0.0,0.4140871230081987,0.0,0.0,0.0,0.0,0.0
GT,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
AC,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
AC,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
all,STR_length,entropy,0.16879657835026343,0.0,0.2693551894259637,0.0,,,,,0.0,0.0,,
AC,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
GT,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
all,STR_length,heterozygosity,0.16202332501794722,0.0,0.26785073389559605,0.0,,,,,0.0,0.0,,
AC,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
GT,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
all,STR_length,minor_freq,0.14891918727038456,0.0,0.2509779223948707,0.0,,,,,0.0,0.0,,
all,STR_length,label,0.23952410826284662,0.0,0.23544734790565752,0.0,0.23952410826284662,0.0,0.2614775412709097,0.0,0.0,0.0,0.0,0.0
AG,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
CT,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
AG,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
CT,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
GT,all_dinuc_count,entropy,0.20371035493991924,7.4728729050635155e-211,0.19708128491902527,3.218583329514083e-197,,,,,2.1521873966582925e-208,9.26951998900056e-195,,
AC,all_dinuc_count,entropy,0.20371035493991924,7.4728729050635155e-211,0.19708128491902527,3.218583329514083e-197,,,,,2.1521873966582925e-208,9.26951998900056e-195,,
AC,all_dinuc_count,heterozygosity,0.1694621734775457,1.338217001434575e-145,0.19519323863818386,2.0035570731225713e-193,,,,,3.8540649641315757e-143,5.770244370593005e-191,,
GT,all_dinuc_count,heterozygosity,0.1694621734775457,1.338217001434575e-145,0.19519323863818386,2.0035570731225713e-193,,,,,3.8540649641315757e-143,5.770244370593005e-191,,
all,all_dinuc_count,entropy,0.18952596797836985,0.0,0.19108428037803363,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.17039391863395179,0.0,0.189147354586258,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,minor_freq,0.1505307000867469,5.900465389714326e-115,0.186805093940181,4.83182234930932e-177,,,,,1.699334032237726e-112,1.3915648366010842e-174,,
AC,all_dinuc_count,minor_freq,0.1505307000867469,5.900465389714326e-115,0.186805093940181,4.83182234930932e-177,,,,,1.699334032237726e-112,1.3915648366010842e-174,,
all,all_dinuc_count,minor_freq,0.15210659287492365,0.0,0.18114469817553525,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,label,0.20177216079034072,8.134060221412332e-207,0.17288404843141872,1.513063122618908e-151,0.20177216079034072,8.134060221412332e-207,0.19958129505253475,2.605768167515971e-149,2.3426093437667517e-204,4.357621793142455e-149,5.856523359416879e-205,1.8761530806114993e-147
AC,all_dinuc_count,label,0.20177216079034072,8.134060221412332e-207,0.17288404843141872,1.513063122618908e-151,0.20177216079034072,8.134060221412332e-207,0.19958129505253475,2.605768167515971e-149,2.3426093437667517e-204,4.357621793142455e-149,5.856523359416879e-205,1.8761530806114993e-147
AG,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AG,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
all,all_dinuc_count,label,0.1883306217401802,0.0,0.16329861619051442,0.0,0.1883306217401802,0.0,0.1903135707459972,0.0,0.0,0.0,0.0,0.0
all,AT_count,entropy,0.18097756298095155,0.0,0.15684925594988677,0.0,,,,,0.0,0.0,,
all,AT_count,heterozygosity,0.16887636646317658,0.0,0.15624345181087101,0.0,,,,,0.0,0.0,,
all,AT_count,minor_freq,0.1548967355270158,0.0,0.15126406103968115,0.0,,,,,0.0,0.0,,
AT,all_dinuc_count,entropy,0.1411055753322066,1.0422847925173907e-127,0.13768262952699123,1.2638165161066848e-121,,,,,3.0017802024500853e-125,3.639791566387252e-119,,
all,AT_count,label,0.1677920628995166,0.0,0.136994959723838,0.0,0.1677920628995166,0.0,0.15619827124673125,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,heterozygosity,0.13566895812525215,4.058870344377053e-118,0.13381691174073101,6.1167685789041785e-115,,,,,1.1689546591805912e-115,1.7616293507244034e-112,,
AT,all_dinuc_count,minor_freq,0.12012604833796786,7.685737822444284e-93,0.12968025948794004,5.275646369571583e-108,,,,,2.2134924928639537e-90,1.5193861544366158e-105,,
